epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,6614.43,2.56488,1.7734,1.24893,0.39872,0.40522,0.31511,0.07947,2.58191,1.71596,1.23714,0.000746,0.000746,0.000746
97,6680.6,2.53736,1.76383,1.24042,0.36575,0.3896,0.28534,0.07233,2.57205,1.70228,1.22771,0.0007328,0.0007328,0.0007328
98,6751.65,2.52694,1.77549,1.24406,0.41685,0.41746,0.32477,0.08243,2.58198,1.66181,1.23673,0.0007196,0.0007196,0.0007196
99,6823.33,2.52979,1.75074,1.23785,0.41004,0.4038,0.31754,0.08074,2.58409,1.67219,1.24035,0.0007064,0.0007064,0.0007064
100,6894.96,2.521,1.73275,1.24086,0.41961,0.4178,0.32693,0.08312,2.57639,1.66634,1.23732,0.0006932,0.0006932,0.0006932
101,6970.03,2.53563,1.75706,1.24795,0.41185,0.40826,0.32036,0.08295,2.5673,1.66802,1.22871,0.00068,0.00068,0.00068
102,7039.91,2.52051,1.77338,1.2465,0.4319,0.43008,0.34121,0.08626,2.58633,1.65738,1.2378,0.0006668,0.0006668,0.0006668
103,7108.59,2.52553,1.74901,1.2379,0.41891,0.41333,0.32444,0.08341,2.57063,1.66481,1.23272,0.0006536,0.0006536,0.0006536
104,7177.04,2.52268,1.75616,1.24314,0.42004,0.39782,0.32543,0.08508,2.55203,1.68691,1.22659,0.0006404,0.0006404,0.0006404
105,7244.51,2.54347,1.7561,1.23776,0.41875,0.40493,0.32638,0.08345,2.57259,1.6747,1.23063,0.0006272,0.0006272,0.0006272
106,7317.19,2.52401,1.74984,1.23349,0.40506,0.41225,0.31722,0.08097,2.55925,1.66776,1.22793,0.000614,0.000614,0.000614
107,7390.35,2.51065,1.743,1.23116,0.44572,0.43513,0.34954,0.08922,2.55971,1.63969,1.22684,0.0006008,0.0006008,0.0006008
108,7458.76,2.53474,1.71432,1.22093,0.43049,0.42537,0.34119,0.08799,2.55127,1.64635,1.22767,0.0005876,0.0005876,0.0005876
109,7530.48,2.53323,1.73175,1.23128,0.44107,0.42259,0.3394,0.08669,2.56759,1.63746,1.23047,0.0005744,0.0005744,0.0005744
110,7603.13,2.51993,1.73934,1.23544,0.42397,0.41387,0.33461,0.08593,2.55104,1.65161,1.22452,0.0005612,0.0005612,0.0005612
111,7677.89,2.52496,1.74231,1.22823,0.4061,0.41789,0.32037,0.08198,2.55788,1.67016,1.22257,0.000548,0.000548,0.000548
112,7748.28,2.49855,1.73405,1.24288,0.44703,0.42205,0.3473,0.08941,2.54186,1.65301,1.21905,0.0005348,0.0005348,0.0005348
113,7816.67,2.50502,1.73521,1.23837,0.43567,0.42232,0.34081,0.08881,2.55141,1.63989,1.22708,0.0005216,0.0005216,0.0005216
114,7888.94,2.52175,1.73233,1.22228,0.41867,0.41939,0.32864,0.08393,2.55501,1.65932,1.22382,0.0005084,0.0005084,0.0005084
115,7958.93,2.53574,1.7309,1.22763,0.43122,0.41921,0.34046,0.08793,2.54071,1.6446,1.21633,0.0004952,0.0004952,0.0004952
116,8026.16,2.5032,1.71373,1.22966,0.43855,0.4182,0.33946,0.0863,2.54513,1.64753,1.22061,0.000482,0.000482,0.000482
117,8095.08,2.5079,1.71684,1.22566,0.44901,0.42381,0.34766,0.09074,2.52665,1.63603,1.21247,0.0004688,0.0004688,0.0004688
118,8168.13,2.52447,1.72792,1.22614,0.43575,0.41664,0.33828,0.08732,2.5363,1.65958,1.21511,0.0004556,0.0004556,0.0004556
119,8241.5,2.51593,1.74061,1.2465,0.45168,0.43042,0.35547,0.09375,2.53685,1.62266,1.22401,0.0004424,0.0004424,0.0004424
120,8306.64,2.49575,1.71575,1.22436,0.43655,0.42746,0.34787,0.09097,2.51978,1.64409,1.21289,0.0004292,0.0004292,0.0004292
121,8377.23,2.52443,1.69844,1.22386,0.46064,0.43997,0.36788,0.09611,2.52092,1.61429,1.21582,0.000416,0.000416,0.000416
122,8448.16,2.50476,1.73069,1.23399,0.4499,0.41827,0.35157,0.09197,2.52911,1.63472,1.22073,0.0004028,0.0004028,0.0004028
123,8521.4,2.49368,1.70202,1.22756,0.4451,0.406,0.34146,0.08999,2.51494,1.65337,1.21473,0.0003896,0.0003896,0.0003896
124,8594.58,2.50437,1.70328,1.2287,0.44402,0.42374,0.35254,0.09186,2.5191,1.63082,1.21497,0.0003764,0.0003764,0.0003764
125,8667.78,2.50064,1.69914,1.22396,0.4661,0.44632,0.37107,0.09706,2.52305,1.61071,1.21708,0.0003632,0.0003632,0.0003632
126,8735.62,2.50486,1.71042,1.22637,0.44507,0.41982,0.35149,0.09285,2.50737,1.63106,1.21159,0.00035,0.00035,0.00035
127,8805.87,2.48815,1.69281,1.2112,0.45451,0.41705,0.35509,0.09376,2.50297,1.62877,1.21081,0.0003368,0.0003368,0.0003368
128,8873.7,2.50182,1.69665,1.21873,0.46702,0.44747,0.37508,0.09871,2.50596,1.61206,1.20922,0.0003236,0.0003236,0.0003236
129,8940.85,2.48603,1.68756,1.22331,0.45975,0.44057,0.37001,0.09699,2.49771,1.61113,1.20616,0.0003104,0.0003104,0.0003104
130,9008.45,2.4868,1.71278,1.22665,0.47511,0.4353,0.37157,0.09785,2.49852,1.60459,1.2082,0.0002972,0.0002972,0.0002972
131,9076.51,2.4749,1.69396,1.22982,0.46975,0.43341,0.36949,0.09804,2.49742,1.60423,1.20693,0.000284,0.000284,0.000284
